,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,image_url
152,"['Overgrow', 'Leaf Guard']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,62,5120,70,405,45,Leaf Pokémon,80,1059860,1.2,60,Bayleef,88.1,153,63,80,60,grass,,15.8,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png
153,"['Overgrow', 'Leaf Guard']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,82,5120,70,525,45,Herb Pokémon,100,1059860,1.8,80,Meganium,88.1,154,83,100,80,grass,,100.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png
154,"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52,5120,70,309,45,Fire Mouse Pokémon,43,1059860,0.5,39,Cyndaquil,88.1,155,60,50,65,fire,,7.9,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png
155,"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64,5120,70,405,45,Volcano Pokémon,58,1059860,0.9,58,Quilava,88.1,156,80,65,80,fire,,19.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png
156,"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,84,5120,70,534,45,Volcano Pokémon,78,1059860,1.7,78,Typhlosion,88.1,157,109,85,100,fire,,79.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png
157,"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,314,45,Big Jaw Pokémon,64,1059860,0.6,50,Totodile,88.1,158,44,48,43,water,,9.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png
158,"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,80,5120,70,405,45,Big Jaw Pokémon,80,1059860,1.1,65,Croconaw,88.1,159,59,63,58,water,,25.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png
159,"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,5120,70,530,45,Big Jaw Pokémon,100,1059860,2.3,85,Feraligatr,88.1,160,79,83,78,water,,88.8,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png
160,"['Run Away', 'Keen Eye', 'Frisk']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46,3840,70,215,255,Scout Pokémon,34,1000000,0.8,35,Sentret,50.0,161,35,45,20,normal,,6.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png
161,"['Run Away', 'Keen Eye', 'Frisk']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,76,3840,70,415,90,Long Body Pokémon,64,1000000,1.8,85,Furret,50.0,162,45,55,90,normal,,32.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png
162,"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,30,3840,70,262,255,Owl Pokémon,30,1000000,0.7,60,Hoothoot,50.0,163,36,56,50,normal,flying,21.2,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png
163,"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,50,3840,70,452,90,Owl Pokémon,50,1000000,1.6,100,Noctowl,50.0,164,86,96,70,normal,flying,40.8,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png
164,"['Swarm', 'Early Bird', 'Rattled']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,20,3840,70,265,255,Five Star Pokémon,30,800000,1.0,40,Ledyba,50.0,165,40,80,55,bug,flying,10.8,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png
165,"['Swarm', 'Early Bird', 'Iron Fist']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,35,3840,70,390,90,Five Star Pokémon,50,800000,1.4,55,Ledian,50.0,166,55,110,85,bug,flying,35.6,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png
166,"['Swarm', 'Insomnia', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,60,3840,70,250,255,String Spit Pokémon,40,800000,0.5,40,Spinarak,50.0,167,40,40,30,bug,poison,8.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png
167,"['Swarm', 'Insomnia', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,90,3840,70,400,90,Long Leg Pokémon,70,800000,1.1,70,Ariados,50.0,168,60,70,40,bug,poison,33.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png
168,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,90,3840,70,535,90,Bat Pokémon,80,1000000,1.8,85,Crobat,50.0,169,70,80,130,poison,flying,75.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png
169,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,38,5120,70,330,190,Angler Pokémon,38,1250000,0.5,75,Chinchou,50.0,170,56,56,67,water,electric,12.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png
170,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,58,5120,70,460,75,Light Pokémon,58,1250000,1.2,125,Lanturn,50.0,171,76,76,67,water,electric,22.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png
171,"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,2560,70,205,190,Tiny Mouse Pokémon,15,1000000,0.3,20,Pichu,50.0,172,35,35,60,electric,,2.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png
172,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,25,2560,140,218,150,Star Shape Pokémon,28,800000,0.3,50,Cleffa,24.6,173,45,55,15,fairy,,3.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png
173,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,30,2560,70,210,170,Balloon Pokémon,15,800000,0.3,90,Igglybuff,24.6,174,40,20,15,normal,fairy,1.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png
174,"['Hustle', 'Serene Grace', 'Super Luck']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,20,2560,70,245,190,Spike Ball Pokémon,65,800000,0.3,35,Togepi,88.1,175,40,65,20,fairy,,1.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png
175,"['Hustle', 'Serene Grace', 'Super Luck']",0.25,0.5,0.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,40,2560,70,405,75,Happiness Pokémon,85,800000,0.6,55,Togetic,88.1,176,80,105,40,fairy,flying,3.2,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png
176,"['Synchronize', 'Early Bird', 'Magic Bounce']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,50,5120,70,320,190,Little Bird Pokémon,45,1000000,0.2,40,Natu,50.0,177,70,45,70,psychic,flying,2.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png
177,"['Synchronize', 'Early Bird', 'Magic Bounce']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,75,5120,70,470,75,Mystic Pokémon,70,1000000,1.5,65,Xatu,50.0,178,95,70,95,psychic,flying,15.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png
178,"['Static', 'Plus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,5120,70,280,235,Wool Pokémon,40,1059860,0.6,55,Mareep,50.0,179,65,45,35,electric,,7.8,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png
179,"['Static', 'Plus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,5120,70,365,120,Wool Pokémon,55,1059860,0.8,70,Flaaffy,50.0,180,80,60,45,electric,,13.3,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png
180,"['Static', 'Plus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,95,5120,70,610,45,Light Pokémon,105,1059860,1.4,90,Ampharos,50.0,181,165,110,45,electric,,61.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png
181,"['Chlorophyll', 'Healer']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,80,5120,70,490,45,Flower Pokémon,95,1059860,0.4,75,Bellossom,50.0,182,90,100,50,grass,,5.8,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png
182,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,20,2560,70,250,190,Aquamouse Pokémon,50,800000,0.4,70,Marill,50.0,183,20,50,40,water,fairy,8.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png
183,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,50,2560,70,420,75,Aquarabbit Pokémon,80,800000,0.8,100,Azumarill,50.0,184,60,80,50,water,fairy,28.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png
184,"['Sturdy', 'Rock Head', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,100,5120,70,410,65,Imitation Pokémon,115,1000000,1.2,70,Sudowoodo,50.0,185,30,65,30,rock,,38.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png
185,"['Water Absorb', 'Damp', 'Drizzle']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,75,5120,70,500,45,Frog Pokémon,75,1059860,1.1,90,Politoed,50.0,186,90,100,70,water,,33.9,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png
186,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,35,5120,70,250,255,Cottonweed Pokémon,40,1059860,0.4,35,Hoppip,50.0,187,35,55,50,grass,flying,0.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png
187,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,45,5120,70,340,120,Cottonweed Pokémon,50,1059860,0.6,55,Skiploom,50.0,188,45,65,80,grass,flying,1.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png
188,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,55,5120,70,460,45,Cottonweed Pokémon,70,1059860,0.8,75,Jumpluff,50.0,189,55,95,110,grass,flying,3.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png
189,"['Run Away', 'Pickup', 'Skill Link']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,5120,70,360,45,Long Tail Pokémon,55,800000,0.8,55,Aipom,50.0,190,40,55,85,normal,,11.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png
190,"['Chlorophyll', 'Solar Power', 'Early Bird']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,30,5120,70,180,235,Seed Pokémon,30,1059860,0.3,30,Sunkern,50.0,191,30,30,30,grass,,1.8,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png
191,"['Chlorophyll', 'Solar Power', 'Early Bird']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,75,5120,70,425,120,Sun Pokémon,55,1059860,0.8,75,Sunflora,50.0,192,105,85,30,grass,,8.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png
192,"['Speed Boost', 'Compoundeyes', 'Frisk']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,65,5120,70,390,75,Clear Wing Pokémon,45,1000000,1.2,65,Yanma,50.0,193,75,45,95,bug,flying,38.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png
193,"['Damp', 'Water Absorb', 'Unaware']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,45,5120,70,210,255,Water Fish Pokémon,45,1000000,0.4,55,Wooper,50.0,194,25,25,15,water,ground,8.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png
194,"['Damp', 'Water Absorb', 'Unaware']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,85,5120,70,430,90,Water Fish Pokémon,85,1000000,1.4,95,Quagsire,50.0,195,65,65,35,water,ground,75.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png
195,"['Synchronize', 'Magic Bounce']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,65,8960,70,525,45,Sun Pokémon,60,1000000,0.9,65,Espeon,88.1,196,130,95,110,psychic,,26.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png
196,"['Synchronize', 'Inner Focus']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,65,8960,35,525,45,Moonlight Pokémon,110,1000000,1.0,95,Umbreon,88.1,197,60,130,65,dark,,27.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png
197,"['Insomnia', 'Super Luck', 'Prankster']",1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,85,5120,35,405,30,Darkness Pokémon,42,1059860,0.5,60,Murkrow,50.0,198,85,42,91,dark,flying,2.1,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png
198,"['Oblivious', 'Own Tempo', 'Regenerator']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,5120,70,490,70,Royal Pokémon,80,1000000,2.0,95,Slowking,50.0,199,100,110,30,water,psychic,79.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png
199,['Levitate'],0.5,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,60,6400,35,435,45,Screech Pokémon,60,800000,0.7,60,Misdreavus,50.0,200,85,85,85,ghost,,1.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png
200,['Levitate'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,72,10240,70,336,225,Symbol Pokémon,48,1000000,0.5,48,Unown,,201,72,48,48,psychic,,5.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png
201,"['Shadow Tag', 'Telepathy']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,33,5120,70,405,45,Patient Pokémon,58,1000000,1.3,190,Wobbuffet,50.0,202,33,58,33,psychic,,28.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png
202,"['Inner Focus', 'Early Bird', 'Sap Sipper']",2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,80,5120,70,455,60,Long Neck Pokémon,65,1000000,1.5,70,Girafarig,50.0,203,90,65,85,normal,psychic,41.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png
203,"['Sturdy', 'Overcoat']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,65,5120,70,290,190,Bagworm Pokémon,90,1000000,0.6,50,Pineco,50.0,204,35,35,15,bug,,7.2,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png
204,"['Sturdy', 'Overcoat']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,90,5120,70,465,75,Bagworm Pokémon,140,1000000,1.2,75,Forretress,50.0,205,60,60,40,bug,steel,125.8,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png
205,"['Serene Grace', 'Run Away', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,5120,70,415,190,Land Snake Pokémon,70,1000000,1.5,100,Dunsparce,50.0,206,65,65,45,normal,,14.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png
206,"['Hyper Cutter', 'Sand Veil', 'Immunity']",0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0,75,5120,70,430,60,Flyscorpion Pokémon,105,1059860,1.1,65,Gligar,50.0,207,35,65,85,ground,flying,64.8,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png
207,"['Rock Head', 'Sturdy', 'Sheer Force']",0.5,1.0,0.5,0.0,0.5,2.0,2.0,0.5,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0,125,6400,70,610,25,Iron Snake Pokémon,230,1000000,9.2,75,Steelix,50.0,208,55,95,30,steel,ground,400.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png
208,"['Intimidate', 'Run Away', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,80,5120,70,300,190,Fairy Pokémon,50,800000,0.6,60,Snubbull,24.6,209,40,40,30,fairy,,7.8,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png
209,"['Intimidate', 'Quick Feet', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,120,5120,70,450,75,Fairy Pokémon,75,800000,1.4,90,Granbull,24.6,210,60,60,45,fairy,,48.7,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png
210,"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,95,5120,70,440,45,Balloon Pokémon,85,1000000,0.5,65,Qwilfish,50.0,211,55,55,85,water,poison,3.9,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png
211,"['Swarm', 'Technician', 'Light Metal']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,150,6400,70,600,25,Pincer Pokémon,140,1000000,1.8,70,Scizor,50.0,212,65,100,75,bug,steel,118.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png
212,"['Sturdy', 'Gluttony', 'Contrary']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0,10,5120,70,505,190,Mold Pokémon,230,1059860,0.6,20,Shuckle,50.0,213,10,230,5,bug,rock,20.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png
213,"['Swarm', 'Guts', 'Moxie']",0.5,0.5,1.0,1.0,2.0,0.5,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,185,6400,70,600,45,Singlehorn Pokémon,115,1250000,1.5,80,Heracross,50.0,214,40,105,75,bug,fighting,54.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png
214,"['Inner Focus', 'Keen Eye', 'Pickpocket']",2.0,0.5,1.0,1.0,2.0,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0,95,5120,35,430,60,Sharp Claw Pokémon,55,1059860,0.9,55,Sneasel,50.0,215,35,75,115,dark,ice,28.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png
215,"['Pickup', 'Quick Feet', 'Honey Gather']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,5120,70,330,120,Little Bear Pokémon,50,1000000,0.6,60,Teddiursa,50.0,216,50,50,40,normal,,8.8,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/216.png
216,"['Guts', 'Quick Feet', 'Unnerve']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,130,5120,70,500,60,Hibernator Pokémon,75,1000000,1.8,90,Ursaring,50.0,217,75,75,55,normal,,125.8,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/217.png
217,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,40,5120,70,250,190,Lava Pokémon,40,1000000,0.7,40,Slugma,50.0,218,70,40,20,fire,,35.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/218.png
218,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,2.0,0.25,0.5,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0,50,5120,70,430,75,Lava Pokémon,120,1000000,0.8,60,Magcargo,50.0,219,90,80,30,fire,rock,55.0,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/219.png
219,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,50,5120,70,250,225,Pig Pokémon,40,1250000,0.4,50,Swinub,50.0,220,30,30,50,ice,ground,6.5,2,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/220.png
